activity_identifier,vocabulary,budget_item_code,budget_item_percentage,description,description_lang
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-03.004.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-03.005.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-05.005.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.004.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.004.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.004.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.004.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2016-17-06.005.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-01.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-01.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-01.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-01.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-01.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-01.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-01.004.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-01.005.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-01.006.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-02.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-02.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-02.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-02.002.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-02.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-02.004.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-03.001.AM01.ARG05,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-03.005.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-03.005.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-03.006.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-04.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-04.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-04.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-04.004.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-04.004.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-06.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-06.004.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-06.004.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-06.005.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-06.005.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2018-19-12.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-01.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-01.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-01.001.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-01.001.AM01.ARG05,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-01.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-01.003.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-01.003.AM01.ARG05,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-02.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-02.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-02.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-02.003.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-03.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-03.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-03.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-03.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-03.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-03.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-04.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-04.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-04.001.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-04.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-04.002.AM01.ARG06,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-04.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-04.003.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-04.003.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2020-21-13.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-01.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-01.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-01.001.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-01.001.AM01.ARG05,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-01.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-01.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-01.003.AM01.ARG05,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-02.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-02.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-02.002.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-02.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-03.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-03.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-03.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-03.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-03.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-03.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.001.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.002.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.002.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.002.AM01.ARG06,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.003.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-04.003.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-13.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-13.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2022-23-14.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.001.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.001.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.001.AM01.ARG05,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.002.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.003.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.003.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-01.003.AM01.ARG05,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-02.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-02.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-02.001.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-02.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-02.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-02.002.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-02.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-02.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-02.003.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-03.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-03.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-03.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-03.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-03.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.001.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.001.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.001.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.002.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.002.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.002.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.002.AM01.ARG05,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.002.AM01.ARG06,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.003.AM01.ARG01,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.003.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.003.AM01.ARG03,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-04.003.AM01.ARG04,1,5.1.1,100,"Health - policy, planning and administration",en
XM-DAC-928-AR-2024-25-13.002.AM01.ARG02,1,5.1.1,100,"Health - policy, planning and administration",en
