activity_identifier,transaction_ref,transaction_type,transaction_date,value,currency,value_date,description,description_lang,provider_org_ref,provider_org_name,provider_org_lang,provider_org_type,receiver_org_ref,receiver_org_name,receiver_org_lang,receiver_org_type,receiver_org_activity_id,disbursement_channel,flow_type,finance_type,aid_type,tied_status,humanitarian,recipient_region
44000-P145054,,2,2014-03-31,6750000,,2014-03-31,Total Commitment in March Month of 2014,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,2,2014-03-31,38250000,,2014-03-31,Total Commitment in March Month of 2014,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,2,2014-03-31,45000000,,2014-03-31,Total Commitment in March Month of 2014,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,2,2014-03-31,120000000,,2014-03-31,Total Commitment in March Month of 2014,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,2,2014-03-31,316500000,,2014-03-31,Total Commitment in March Month of 2014,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,2,2019-05-31,65000000,,2019-05-31,Total Commitment in May Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,2,2023-11-30,18300000,,2023-11-30,Total Commitment in November Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,2,2023-11-30,11000000,,2023-11-30,Total Commitment in November Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2018-04-30,2338223,,2018-04-30,Total Disbursement in April Month of 2018,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2018-06-30,6248764,,2018-06-30,Total Disbursement in June Month of 2018,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2018-07-31,3000000,,2018-07-31,Total Disbursement in July Month of 2018,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2018-10-31,470194,,2018-10-31,Total Disbursement in October Month of 2018,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2018-11-30,17169822,,2018-11-30,Total Disbursement in November Month of 2018,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-03-31,32115108,,2019-03-31,Total Disbursement in March Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-04-30,2679000,,2019-04-30,Total Disbursement in April Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-04-30,14602539,,2019-04-30,Total Disbursement in April Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-05-31,3280800,,2019-05-31,Total Disbursement in May Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-06-30,139734,,2019-06-30,Total Disbursement in June Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-07-31,5961623,,2019-07-31,Total Disbursement in July Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-08-31,3606157,,2019-08-31,Total Disbursement in August Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-09-30,8722531,,2019-09-30,Total Disbursement in September Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-09-30,115515,,2019-09-30,Total Disbursement in September Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-09-30,10949722,,2019-09-30,Total Disbursement in September Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-10-31,19455696,,2019-10-31,Total Disbursement in October Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-10-31,1551662,,2019-10-31,Total Disbursement in October Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-10-31,639313,,2019-10-31,Total Disbursement in October Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-11-30,10696127,,2019-11-30,Total Disbursement in November Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-12-31,2649389,,2019-12-31,Total Disbursement in December Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2019-12-31,3012867,,2019-12-31,Total Disbursement in December Month of 2019,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-01-31,14979188,,2020-01-31,Total Disbursement in January Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-02-29,5695747,,2020-02-29,Total Disbursement in February Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-03-31,248960,,2020-03-31,Total Disbursement in March Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-04-30,2988105,,2020-04-30,Total Disbursement in April Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-05-31,8020681,,2020-05-31,Total Disbursement in May Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-06-30,401077,,2020-06-30,Total Disbursement in June Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-07-31,6448943,,2020-07-31,Total Disbursement in July Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-08-31,9993221,,2020-08-31,Total Disbursement in August Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-09-30,91059,,2020-09-30,Total Disbursement in September Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-09-30,3337481,,2020-09-30,Total Disbursement in September Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-10-31,9542497,,2020-10-31,Total Disbursement in October Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-11-30,853199,,2020-11-30,Total Disbursement in November Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-11-30,1197451,,2020-11-30,Total Disbursement in November Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-11-30,5118276,,2020-11-30,Total Disbursement in November Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-12-31,3536208,,2020-12-31,Total Disbursement in December Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-12-31,4050227,,2020-12-31,Total Disbursement in December Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2020-12-31,242399,,2020-12-31,Total Disbursement in December Month of 2020,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-01-31,5133311,,2021-01-31,Total Disbursement in January Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-02-28,1931584,,2021-02-28,Total Disbursement in February Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-02-28,2523087,,2021-02-28,Total Disbursement in February Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-04-30,348709,,2021-04-30,Total Disbursement in April Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-04-30,3033357,,2021-04-30,Total Disbursement in April Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-04-30,3348659,,2021-04-30,Total Disbursement in April Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-05-31,6389782,,2021-05-31,Total Disbursement in May Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-05-31,76462,,2021-05-31,Total Disbursement in May Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-05-31,7750387,,2021-05-31,Total Disbursement in May Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-06-30,8066365,,2021-06-30,Total Disbursement in June Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-06-30,713413,,2021-06-30,Total Disbursement in June Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-06-30,2880990,,2021-06-30,Total Disbursement in June Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-07-31,4812552,,2021-07-31,Total Disbursement in July Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-07-31,398286,,2021-07-31,Total Disbursement in July Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-08-31,2064956,,2021-08-31,Total Disbursement in August Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-08-31,1479615,,2021-08-31,Total Disbursement in August Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-08-31,990011,,2021-08-31,Total Disbursement in August Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-08-31,10673037,,2021-08-31,Total Disbursement in August Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-09-30,20840,,2021-09-30,Total Disbursement in September Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-09-30,4413852,,2021-09-30,Total Disbursement in September Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-09-30,966494,,2021-09-30,Total Disbursement in September Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-10-31,1748485,,2021-10-31,Total Disbursement in October Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-10-31,536856,,2021-10-31,Total Disbursement in October Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-10-31,1792616,,2021-10-31,Total Disbursement in October Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-11-30,2453388,,2021-11-30,Total Disbursement in November Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-11-30,144323,,2021-11-30,Total Disbursement in November Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-12-31,15028025,,2021-12-31,Total Disbursement in December Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2021-12-31,1119386,,2021-12-31,Total Disbursement in December Month of 2021,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-01-31,647619,,2022-01-31,Total Disbursement in January Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-01-31,1212536,,2022-01-31,Total Disbursement in January Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-02-28,210859,,2022-02-28,Total Disbursement in February Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-02-28,193301,,2022-02-28,Total Disbursement in February Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-02-28,5071666,,2022-02-28,Total Disbursement in February Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-02-28,615432,,2022-02-28,Total Disbursement in February Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-03-31,1774020,,2022-03-31,Total Disbursement in March Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-03-31,941576,,2022-03-31,Total Disbursement in March Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-03-31,550294,,2022-03-31,Total Disbursement in March Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-04-30,419831,,2022-04-30,Total Disbursement in April Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-04-30,161213,,2022-04-30,Total Disbursement in April Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-05-31,1595389,,2022-05-31,Total Disbursement in May Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-05-31,526723,,2022-05-31,Total Disbursement in May Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-06-30,79248,,2022-06-30,Total Disbursement in June Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-06-30,1897482,,2022-06-30,Total Disbursement in June Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-06-30,480308,,2022-06-30,Total Disbursement in June Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-07-31,81392,,2022-07-31,Total Disbursement in July Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-07-31,763024,,2022-07-31,Total Disbursement in July Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-07-31,3494454,,2022-07-31,Total Disbursement in July Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-08-31,1338214,,2022-08-31,Total Disbursement in August Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-08-31,1765531,,2022-08-31,Total Disbursement in August Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-09-30,6078481,,2022-09-30,Total Disbursement in September Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-10-31,1197833,,2022-10-31,Total Disbursement in October Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-10-31,143233,,2022-10-31,Total Disbursement in October Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-11-30,779668,,2022-11-30,Total Disbursement in November Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-11-30,1272740,,2022-11-30,Total Disbursement in November Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-11-30,98739,,2022-11-30,Total Disbursement in November Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-12-31,808530,,2022-12-31,Total Disbursement in December Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-12-31,193409,,2022-12-31,Total Disbursement in December Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2022-12-31,568475,,2022-12-31,Total Disbursement in December Month of 2022,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-01-31,2062903,,2023-01-31,Total Disbursement in January Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-01-31,296122,,2023-01-31,Total Disbursement in January Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-01-31,129211,,2023-01-31,Total Disbursement in January Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-02-28,384921,,2023-02-28,Total Disbursement in February Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-02-28,4386907,,2023-02-28,Total Disbursement in February Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-02-28,1716813,,2023-02-28,Total Disbursement in February Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-03-31,792465,,2023-03-31,Total Disbursement in March Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-03-31,1735683,,2023-03-31,Total Disbursement in March Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-03-31,4122621,,2023-03-31,Total Disbursement in March Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-04-30,245606,,2023-04-30,Total Disbursement in April Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-04-30,811694,,2023-04-30,Total Disbursement in April Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-05-31,736751,,2023-05-31,Total Disbursement in May Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-05-31,1774186,,2023-05-31,Total Disbursement in May Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-05-31,17953,,2023-05-31,Total Disbursement in May Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-06-30,1000324,,2023-06-30,Total Disbursement in June Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-06-30,9836488,,2023-06-30,Total Disbursement in June Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-06-30,13989,,2023-06-30,Total Disbursement in June Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-07-31,33046,,2023-07-31,Total Disbursement in July Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-07-31,588765,,2023-07-31,Total Disbursement in July Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-07-31,11763627,,2023-07-31,Total Disbursement in July Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-08-31,435191,,2023-08-31,Total Disbursement in August Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-08-31,2445001,,2023-08-31,Total Disbursement in August Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-08-31,1330018,,2023-08-31,Total Disbursement in August Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-09-30,27672,,2023-09-30,Total Disbursement in September Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-09-30,202672,,2023-09-30,Total Disbursement in September Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-09-30,1135109,,2023-09-30,Total Disbursement in September Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-10-31,599012,,2023-10-31,Total Disbursement in October Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
44000-P145054,,3,2023-10-31,637845,,2023-10-31,Total Disbursement in October Month of 2023,,44002,IDA Credit,,,,,,,,,10,410,,,,
