organisation_identifier,url,format,title,category_code,language,document_date
44002,https://documents1.worldbank.org/curated/en/099101824180532047/pdf/BOSIB13bdde89d07f1b3711dd8e86adb477.pdf,application/pdf,The World Bank Annual Report 2024,B01,,
44002,http://documents1.worldbank.org/curated/en/459531582153485508/pdf/Additions-to-IDA-Resources-Nineteenth-Replenishment-Ten-Years-to-2030-Growth-People-Resilience.pdf,application/pdf,IDA19 Replenishment Agreement,B02,,
44002,https://documents1.worldbank.org/curated/en/163861645554924417/pdf/IDA20-Building-Back-Better-from-the-Crisis-Toward-a-Green-Resilient-and-Inclusive-Future.pdf,application/pdf,IDA20 Replenishment Agreement,B02,,
44002,https://ida.worldbank.org/en/replenishments/road-to-IDA21,text/html,IDA21 Replenishment Agreement,B02,,
44002,https://ida.worldbank.org/en/replenishments/road-to-IDA21,text/html,IDA21 Replenishment Agreement,B04,,
44002,https://documents1.worldbank.org/curated/en/163861645554924417/pdf/IDA20-Building-Back-Better-from-the-Crisis-Toward-a-Green-Resilient-and-Inclusive-Future.pdf,application/pdf,IDA20 Replenishment Agreement,B04,,
44002,http://documents1.worldbank.org/curated/en/459531582153485508/pdf/Additions-to-IDA-Resources-Nineteenth-Replenishment-Ten-Years-to-2030-Growth-People-Resilience.pdf,application/pdf,IDA19 Replenishment Agreement,B04,,
44002,https://ppfdocuments.azureedge.net/a3656cb7-8847-417b-886f-11fa0235216e.pdf,application/pdf,"Bank Policy: Procurement in IPF and Other Operational Procurement Matters, November 2017",B05,,
44002,https://worldbankgroup.sharepoint.com/sites/ppfonline/PPFDocuments/5b5c644f62c6465d9662329857a851e5.pdf,application/pdf,"Bank Directive: Procurement in IPF and Other Operational Procurement Matters, April 2024",B05,,
44002,https://worldbankgroup.sharepoint.com/sites/ppfonline/PPFDocuments/1a586273c48a4db7b978d7f69f55aad9.pdf,application/pdf,"Bank Procedure: Procurement in IPF and Other Operational Procurement Matters, March 2024",B05,,
44002,https://thedocs.worldbank.org/en/doc/306d5e3f952ffc4cefb5dcdcceb0bb31-0040012024/original/IDA-Financial-Statements-June-2024.pdf,application/pdf,International Development Association: Managementâ€™s Discussion &amp;amp; Analysis  and  Financial Statements. June 2024,B06,,
44002,http://ida.worldbank.org/,text/html,International Development Association web page,B16,,
44002,http://documents.worldbank.org/curated/en/163401481660770129/pdf/108727-REVISED-PUBLIC-Afghanistan-CPF-27-Oct-final-12082016.pdf,application/pdf,Afghanistan,B03,,
44002,http://documents.worldbank.org/curated/en/263461562292137905/pdf/Afghanistan-Performance-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY17-FY20.pdf,application/pdf,Afghanistan,B03,,
44002,https://documents1.worldbank.org/curated/en/099150002222322770/pdf/BOSIB086c3ab510fa0a5380a0666ba92b08.pdf,application/pdf,Albania,B03,,
44002,https://documents1.worldbank.org/curated/en/523501552357219076/pdf/armenia-cpf-fy19-fy23-february-27-final-update-3-4-19-03062019-636876792405788612.pdf,application/pdf,Armenia,B03,,
44002,https://documents1.worldbank.org/curated/en/521311653403992525/pdf/Armenia-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY19-FY23.pdf,application/pdf,Armenia,B03,,
44002,https://documents1.worldbank.org/curated/en/469841468204833634/pdf/762250CAS0Ango0800OUO0900Box379823B.pdf,application/pdf,Angola,B03,,
44002,https://documents1.worldbank.org/curated/en/331731524880895283/pdf/Angola-PLR-April-4-SECPO-rev-2018-04042018.pdf,application/pdf,Angola,B03,,
44002,https://documents1.worldbank.org/curated/en/579151556416868661/pdf/Argentina-Country-Partnership-Framework-for-the-Period-FY19-FY22.pdf,application/pdf,Argentina,B03,,
44002,https://documents1.worldbank.org/curated/en/332351654274337004/pdf/Argentina-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY19-FY22.pdf,application/pdf,Argentina,B03,,
44002,https://documents1.worldbank.org/curated/en/748271467998502035/pdf/95860-REVISED-Box385353B-OUO-9-R2015-0122-2.pdf,application/pdf,Azerbaijan,B03,,
44002,https://documents1.worldbank.org/curated/en/623881583719337529/pdf/Azerbaijan-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY16-FY20.pdf,application/pdf,Azerbaijan,B03,,
44002,https://documents1.worldbank.org/curated/en/469491658939414739/pdf/Bosnia-and-Herzegovina-Country-Partnership-Framework-for-the-Period-FY23-FY27.pdf,application/pdf,Bosnia and Herzegovina,B03,,
44002,https://documents1.worldbank.org/curated/en/099040523102036987/pdf/BOSIB037c73db00920ae960a4e78fa47587.pdf,application/pdf,Bangladesh,B03,,
44002,https://documents1.worldbank.org/curated/en/989871531020679064/pdf/BURKINA-FASO-CPF-06112018.pdf,application/pdf,Burkina Faso,B03,,
44002,https://documents1.worldbank.org/curated/en/099415008022233987/pdf/BOSIB0168f56b10b4088340e332c916e4f5.pdf,application/pdf,Burkina Faso,B03,,
44002,https://documents1.worldbank.org/curated/en/099082024095015062/pdf/BOSIB18efadcc50ff18689131c112f54196.pdf,application/pdf,Bulgaria,B03,,
44002,https://documents1.worldbank.org/curated/en/282471563156135424/pdf/Burundi-Country-Partnership-Framework-for-the-Period-FY19-FY23.pdf,application/pdf,Burundi,B03,,
44002,https://documents1.worldbank.org/curated/en/099050323115510904/pdf/BOSIB034ae90280e00b0f406a5b8319dfd2.pdf,application/pdf,Burundi,B03,,
44002,https://documents1.worldbank.org/curated/en/643931531020663012/pdf/BENIN-NEW-CPF-06112018.pdf,application/pdf,Benin,B03,,
44002,https://documents1.worldbank.org/curated/en/419911653594221073/pdf/Benin-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY19-FY23.pdf,application/pdf,Benin,B03,,
44002,https://documents1.worldbank.org/curated/en/099050323173010038/pdf/BOSIB0562931f10b70bc9302a5faf598afc.pdf,application/pdf,Bolivia (Plurinational State of),B03,,
44002,https://documents1.worldbank.org/curated/en/099031824151014222/pdf/BOSIB1a9c64a780861b8d01b824b30cdb50.pdf,application/pdf,Brazil,B03,,
44002,https://documents1.worldbank.org/curated/en/620541608337280651/pdf/Bhutan-Country-Partnership-Framework-for-the-Period-FY2021-24.pdf,application/pdf,Bhutan,B03,,
44002,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/772221468196759090/botswana-country-partnership-framework,application/pdf,Botswana,B03,,
44002,https://documents1.worldbank.org/curated/en/309791553911293833/pdf/Botswana-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-of-FY16-FY20.pdf,application/pdf,Botswana,B03,,
44002,https://documents1.worldbank.org/curated/en/748191523557929050/pdf/CPF-FY2018-22-Feb-21-03122018.pdf,application/pdf,Belarus,B03,,
44002,https://thedocs.worldbank.org/en/doc/6831e2bfa59920396fd8b1cff7cb96ab-0370012017/original/Belize-Country-Partnership-Framework-FY18-22.pdf,application/pdf,Belize,B03,,
44002,https://documents1.worldbank.org/curated/en/099050423054072956/pdf/BOSIB052ea1ff4090087c50a3cf45b7d48d.pdf,application/pdf,Belize,B03,,
44002,https://documents1.worldbank.org/curated/en/214221646062568502/pdf/Congo-Democratic-Republic-of-Country-Partnership-Framework-for-the-Period-FY22-26.pdf,application/pdf,"Congo, Dem. Rep.",B03,,
44002,https://documents1.worldbank.org/curated/en/875161599271252523/pdf/Central-African-Republic-Country-Partnership-Framework-for-the-Period-FY21-FY25.pdf,application/pdf,Central African Republic,B03,,
44002,https://documents1.worldbank.org/curated/en/099050624093523991/pdf/BOSIB10fedc2ce0c219fad164ba09286684.pdf,application/pdf,Central African Republic,B03,,
44002,http://documents.worldbank.org/curated/en/763151576206076142/pdf/Congo-Republic-of-Country-Partnership-Framework-for-the-Period-FY20-FY24.pdf,application/pdf,"Congo, Rep.",B03,,
44002,https://documents1.worldbank.org/curated/en/183801707199364352/pdf/Congo-Republic-of-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-Period-FY-20-FY24.pdf,application/pdf,"Congo, Rep.",B03,,
44002,https://documents1.worldbank.org/curated/en/099651011292216280/pdf/BOSIB0246e8a0a0e40a467045ef24dbe266.pdf,application/pdf,CÃ´te dâ€™Ivoire,B03,,
44002,https://documents1.worldbank.org/curated/en/099060523092533067/pdf/BOSIB08bf6ca1d02d0b4410610a16810e43.pdf,application/pdf,Chile,B03,,
44002,https://documents1.worldbank.org/curated/en/099062824115035044/pdf/BOSIB1684b3d6e07a1a243150e02b12bbdd.pdf,application/pdf,Cameroon,B03,,
44002,https://documents1.worldbank.org/curated/en/902781575573489712/pdf/China-Country-Partnership-Framework-for-the-Period-FY2020-2025.pdf,application/pdf,China,B03,,
44002,https://documents1.worldbank.org/curated/en/099020224140520812/pdf/BOSIB12dc675790751b288136b0bd72bf99.pdf,application/pdf,Colombia,B03,,
44002,https://documents1.worldbank.org/curated/en/099040824160538340/pdf/BOSIB18c053bf80921880f1e18c5a2a989c.pdf,application/pdf,Costa Rica,B03,,
44002,http://documents.worldbank.org/curated/en/711741572660051256/pdf/Cabo-Verde-Country-Partnership-Framework-for-the-Period-FY20-25.pdf,application/pdf,Cabo Verde,B03,,
44002,https://documents1.worldbank.org/curated/en/099022324135042687/pdf/BOSIB1fd00a1d70d21866c181770567bbe2.pdf,application/pdf,Cabo Verde,B03,,
44002,https://documents1.worldbank.org/curated/en/419571633105207198/pdf/Djibouti-Country-Partnership-Framework-for-the-Period-FY22-FY26.pdf,application/pdf,Djibouti,B03,,
44002,https://documents1.worldbank.org/curated/en/785291684874343180/pdf/Organization-of-Eastern-Caribbean-States-Regional-Partnership-Framework-for-the-Eastern-Caribbean-States-for-the-Period-FY22-FY25.pdf,application/pdf,Dominica,B03,,
44002,https://documents1.worldbank.org/curated/en/366231649085796162/pdf/Dominican-Republic-Country-Partnership-Framework-for-the-Period-FY-22-26.pdf,application/pdf,Dominican Republic (the),B03,,
44002,https://documents1.worldbank.org/curated/en/633491560564064529/pdf/Ecuador-Country-Partnership-Framework-for-the-Period-of-the-FY19-FY23.pdf,application/pdf,Ecuador,B03,,
44002,https://documents1.worldbank.org/curated/en/099050923191031668/pdf/BOSIB0591012650c309f8b022bec58d5afe.pdf,application/pdf,Ecuador,B03,,
44002,https://documents1.worldbank.org/curated/en/099213002272323100/pdf/BOSIB0b6dd924c02e0ac3808676e3c4cb10.pdf,application/pdf,Egypt,B03,,
44002,https://documents1.worldbank.org/curated/en/613041498788104835/pdf/Ethiopia-Country-Partnership-Framework-June-5-2017-FINAL-06052017.pdf,application/pdf,Ethiopia,B03,,
44002,https://pubdocs.worldbank.org/en/200821611265883268/World-Bank-Group-Fiji-CPF-WEB-Final.pdf,application/pdf,Fiji,B03,,
44002,https://documents1.worldbank.org/curated/en/099071224103023437/pdf/BOSIB1b97681f001519bf217aa6b637d315.pdf,application/pdf,Fiji,B03,,
44002,https://documents1.worldbank.org/curated/en/137341508303097110/pdf/120479-WP-P156647-PUBLIC-SydneyRPFFA.pdf,application/pdf,"Micronesia, Fed. Sts.",B03,,
44002,https://documents1.worldbank.org/curated/en/302731583719311381/pdf/Nine-Pacific-Island-Countries-PIC9-Kiribati-Nauru-Marshall-Islands-Federated-States-of-Micronesia-Palau-Samoa-Tonga-Tuvalu-and-Vanuatu-Performance-and-Learning-Review-for-the-Period-FY2017-2021.pdf,application/pdf,"Micronesia, Fed. Sts.",B03,,
44002,https://documents1.worldbank.org/curated/en/099250010182231338/pdf/BOSIB08344da550660892902b6debd0b5f1.pdf,application/pdf,Gabon,B03,,
44002,https://documents1.worldbank.org/curated/en/785291684874343180/pdf/Organization-of-Eastern-Caribbean-States-Regional-Partnership-Framework-for-the-Eastern-Caribbean-States-for-the-Period-FY22-FY25.pdf,application/pdf,Grenada,B03,,
44002,https://documents1.worldbank.org/curated/en/588751525364587100/pdf/WBG-Georgia-CPF-FINAL-4-25-04302018.pdf,application/pdf,Georgia,B03,,
44002,https://documents1.worldbank.org/curated/en/964541652556740638/pdf/Georgia-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY19-FY22.pdf,application/pdf,Georgia,B03,,
44002,https://documents1.worldbank.org/curated/en/823041645721495743/pdf/Ghana-Country-Partnership-Framework-for-the-Period-of-FY22-FY26.pdf,application/pdf,Ghana,B03,,
44002,https://documents1.worldbank.org/curated/en/450591652556583165/pdf/Gambia-Country-Partnership-Framework-for-the-Period-FY22-26.pdf,application/pdf,"Gambia, The",B03,,
44002,http://documents.worldbank.org/curated/en/346601528601433676/pdf/Guinea-CPF-Board-Version-Final-05152018.pdf,application/pdf,Guinea,B03,,
44002,https://documents1.worldbank.org/curated/en/855701627092041567/pdf/Guinea-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-of-FY18-FY23.pdf,application/pdf,Guinea,B03,,
44002,https://documents1.worldbank.org/curated/en/099050523121019313/pdf/BOSIB0af647f3b0320ac2205e50cbaf0673.pdf,application/pdf,Guatemala,B03,,
44002,http://documents.worldbank.org/curated/en/905591497578455518/pdf/Guinea-Bissau-CPF-Board-version-May-15-gt-ks-05192017.pdf,application/pdf,Guinea-Bissau,B03,,
44002,https://documents1.worldbank.org/curated/en/954011627351249878/pdf/Guinea-Bissau-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY18-FY21.pdf,application/pdf,Guinea-Bissau,B03,,
44002,https://documents1.worldbank.org/curated/en/099042423133024404/pdf/BOSIB06956cef807809aae0687fa5b9d08f.pdf,application/pdf,Guyana,B03,,
44002,https://documents1.worldbank.org/curated/en/099150301182319439/pdf/BOSIB0e1e1992b0270a3c4036175086d671.pdf,application/pdf,Honduras,B03,,
44002,https://documents1.worldbank.org/curated/en/501721557239562800/pdf/Croatia-Country-Partnership-Framework-for-the-Period-of-FY19-FY24.pdf,application/pdf,Croatia,B03,,
44002,https://documents1.worldbank.org/curated/en/099120003172340493/pdf/BOSIB0cc57ad420fe080870323d965270a6.pdf,application/pdf,Croatia,B03,,
44002,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2015/09/08/090224b0830c6068/1_0/Rendered/PDF/Haiti000Countr0the0period0FY160FY19.pdf,application/pdf,Haiti,B03,,
44002,https://documents1.worldbank.org/curated/en/167021530329615895/pdf/Haiti-PLR-06062018.pdf,application/pdf,Haiti,B03,,
44002,https://documents1.worldbank.org/curated/en/306831620760881407/pdf/Indonesia-Country-Partnership-Framework-for-the-Period-FY21-FY25.pdf,application/pdf,Indonesia,B03,,
44002,https://documents1.worldbank.org/curated/en/099080624094034066/pdf/BOSIB1d6c4cf560b0196f51aff07d73e0fd.pdf,application/pdf,Indonesia,B03,,
44002,https://documents1.worldbank.org/curated/en/277621537673420666/pdf/126667-R2018-0190-REPLACEMENT-India-CPF-Final-post-Board-08242018.pdf,application/pdf,India,B03,,
44002,https://documents1.worldbank.org/curated/en/099103023172516447/pdf/BOSIB061e406ed0b70810906e1c24a73d1e.pdf,application/pdf,India,B03,,
44002,https://documents1.worldbank.org/curated/en/914101628604096499/pdf/Iraq-Country-Partnership-Framework-for-the-Period-FY2022-FY2026.pdf,application/pdf,Iraq,B03,,
44002,https://documents1.worldbank.org/curated/en/099041024090016266/pdf/BOSIB1ee9eb46c0e31b4e11e3957c2430a5.pdf,application/pdf,Jamaica,B03,,
44002,https://documents1.worldbank.org/curated/en/099030524153512269/pdf/BOSIB1c59bd695098183bb1a7e87019d033.pdf,application/pdf,Jordan,B03,,
44002,https://documents1.worldbank.org/curated/en/099205010262216711/pdf/BOSIB00be0e8020800a68b02235d729b923.pdf,application/pdf,Kenya,B03,,
44002,https://documents1.worldbank.org/curated/en/099100623084515034/pdf/BOSIB0324649020920af43027f65c61ff9d.pdf,application/pdf,Kyrgyzstan,B03,,
44002,https://documents1.worldbank.org/curated/en/099092024101528159/pdf/BOSIB16379b75001218eb816f493e7e0e7d.pdf,application/pdf,Cambodia,B03,,
44002,http://documents1.worldbank.org/curated/en/251931582053473376/pdf/East-Asia-and-Pacific-Regional-Partnership-Framework-for-the-period-of-FY17-FY21.pdf,application/pdf,Kiribati,B03,,
44002,http://documents1.worldbank.org/curated/en/302731583719311381/pdf/Nine-Pacific-Island-Countries-PIC9-Kiribati-Nauru-Marshall-Islands-Federated-States-of-Micronesia-Palau-Samoa-Tonga-Tuvalu-and-Vanuatu-Performance-and-Learning-Review-for-the-Period-FY2017-2021.pdf,application/pdf,Kiribati,B03,,
44002,https://documents1.worldbank.org/curated/en/350041595210477880/pdf/Comoros-Country-Partnership-Framework-for-the-Period-of-FY20-FY24.pdf,application/pdf,Comoros,B03,,
44002,https://documents1.worldbank.org/curated/en/099100223142525251/pdf/BOSIB0a84bfc970d20b7240b7baf17b77fd.pdf,application/pdf,Comoros,B03,,
44002,https://documents1.worldbank.org/curated/en/950671576378842710/pdf/Kazakhstan-Country-Partnership-Framework-for-the-Period-FY20-25.pdf,application/pdf,Kazakhstan,B03,,
44002,https://documents1.worldbank.org/curated/en/099071323155575409/pdf/BOSIB072bc56d50a9093980632d07d94d0f.pdf,application/pdf,Kazakhstan,B03,,
