organisation_identifier,url,format,title,category_code,language,document_date
44002,https://documents1.worldbank.org/curated/en/099717312222228702/pdf/BOSIB0ba4460490c70b52a08b105fa5296a.pdf,application/pdf,Lao PDR,B03,,
44002,https://documents1.worldbank.org/curated/en/111451467996685776/pdf/94768-CAS-P151022-R2016-0126-OUO-9-Box396270B.pdf,application/pdf,Lebanon,B03,,
44002,https://documents1.worldbank.org/curated/en/699991653051822455/pdf/Lebanon-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-of-FY17-FY22.pdf,application/pdf,Lebanon,B03,,
44002,https://documents1.worldbank.org/curated/en/785291684874343180/pdf/Organization-of-Eastern-Caribbean-States-Regional-Partnership-Framework-for-the-Eastern-Caribbean-States-for-the-Period-FY22-FY25.pdf,application/pdf,St. Lucia,B03,,
44002,https://documents1.worldbank.org/curated/en/099060523101512718/pdf/BOSIB0abb778e20650b1540d16634cb4fb1.pdf,application/pdf,Sri Lanka,B03,,
44002,http://documents.worldbank.org/curated/en/374031541438293964/pdf/liberia-cpf-11012018-636768792698663889.pdf,application/pdf,Liberia,B03,,
44002,https://documents1.worldbank.org/curated/en/099410112222295543/pdf/BOSIB0a940421c03c0b19c069778182f9ed.pdf,application/pdf,Liberia,B03,,
44002,https://documents1.worldbank.org/curated/en/099747507062319429/pdf/IDU081164b210ea0304d290bf5c005200d8d6c93.pdf,application/pdf,Lesotho,B03,,
44002,https://documents1.worldbank.org/curated/en/099925001132337711/pdf/BOSIB043a55b640ad0a7080471ed8bf52a1.pdf,application/pdf,Libya,B03,,
44002,https://documents1.worldbank.org/curated/en/101781550869524206/pdf/Program-Document-Morocco-CPF-P166669-01252019-636865562861022997.pdf,application/pdf,Morocco,B03,,
44002,https://documents1.worldbank.org/curated/en/099080123110550516/pdf/BOSIB03ca8b4800140b6b2075eb9041b690.pdf,application/pdf,Morocco,B03,,
44002,https://documents1.worldbank.org/curated/en/099350101102317579/pdf/BOSIB0d902e69802c0ba0c04ec91579296a.pdf,application/pdf,Moldova (the Republic of),B03,,
44002,http://documents1.worldbank.org/curated/en/099082024155559792/pdf/BOSIB11ef4456f06d1be84124abeb6f1340.pdf,application/pdf,Montenegro,B03,,
44002,https://documents1.worldbank.org/curated/en/099040323142549791/pdf/BOSIB06727b8a603b0bbc50f9264b9412f9.pdf,application/pdf,Madagascar,B03,,
44002,http://documents1.worldbank.org/curated/en/251931582053473376/pdf/East-Asia-and-Pacific-Regional-Partnership-Framework-for-the-period-of-FY17-FY21.pdf,application/pdf,Marshall Islands,B03,,
44002,http://documents1.worldbank.org/curated/en/302731583719311381/pdf/Nine-Pacific-Island-Countries-PIC9-Kiribati-Nauru-Marshall-Islands-Federated-States-of-Micronesia-Palau-Samoa-Tonga-Tuvalu-and-Vanuatu-Performance-and-Learning-Review-for-the-Period-FY2017-2021.pdf,application/pdf,Marshall Islands,B03,,
44002,https://documents1.worldbank.org/curated/en/099121423113572638/pdf/BOSIB1c2adbafe00d190711a4cdd9895e70.pdf,application/pdf,North Macedonia,B03,,
44002,http://documents.worldbank.org/curated/en/839461468198005347/pdf/94005-CPF-P151414-IDA-R2015-0283-IFC-R2015-0309-MIGA-R2015-0089-Box393245B-OUO-9.pdf,application/pdf,Mali,B03,,
44002,https://documents1.worldbank.org/curated/en/400261569204060059/pdf/Mali-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-of-FY16-FY19.pdf,application/pdf,Mali,B03,,
44002,https://documents1.worldbank.org/curated/en/110961589818564510/pdf/Myanmar-Country-Partnership-Framework-for-the-Period-of-FY20-FY23.pdf,application/pdf,Myanmar,B03,,
44002,https://documents1.worldbank.org/curated/en/258001646660089008/pdf/Mongolia-Country-Partnership-Framework-for-the-Period-FY21-FY25.pdf,application/pdf,Mongolia,B03,,
44002,https://documents1.worldbank.org/curated/en/288231531625439579/pdf/MAURITANIA-CPF-NEW-06192018.pdf,application/pdf,Mauritania,B03,,
44002,https://documents1.worldbank.org/curated/en/384791653399677569/pdf/Mauritania-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY18-FY23.pdf,application/pdf,Mauritania,B03,,
44002,https://documents1.worldbank.org/curated/en/099100623135017078/pdf/BOSIB0d9d83a4b05e0b537046b69846620c.pdf,application/pdf,Mauritius,B03,,
44002,https://documents1.worldbank.org/curated/en/099605012132232998/pdf/BOSIB08334cee80f8081cf0c7ecd21e27dd.pdf,application/pdf,Maldives,B03,,
44002,https://documents1.worldbank.org/curated/en/573101618580009934/pdf/Malawi-Country-Partnership-Framework-for-the-Period-FY21-FY25.pdf,application/pdf,Malawi,B03,,
44002,https://documents1.worldbank.org/curated/en/927991583031630169/pdf/Mexico-Country-Partnership-Framework.pdf,application/pdf,Mexico,B03,,
44002,https://documents1.worldbank.org/curated/en/099032124080524844/pdf/BOSIB15b3ebe810f518e201c5cfce8f25cd.pdf,application/pdf,Mexico,B03,,
44002,https://documents1.worldbank.org/curated/en/099150001312319050/pdf/BOSIB0cb0e37ea0330971102ee9e9409a5d.pdf,application/pdf,Mozambique,B03,,
44002,https://documents1.worldbank.org/curated/en/247341468323960034/pdf/777480CAS0NA0R00Box0377356B00OUO090.pdf,application/pdf,Namibia,B03,,
44002,https://documents1.worldbank.org/curated/en/545431523066442899/pdf/Namibia-PLR-Post-ROC-AFRDE-030718-03142018.pdf,application/pdf,Namibia,B03,,
44002,https://documents1.worldbank.org/curated/en/466811523970978067/pdf/123736-CORRIGENDUM-PUBLIC-NIGER-CPF-04112018.pdf,application/pdf,Niger,B03,,
44002,https://documents1.worldbank.org/curated/en/758721653399774255/pdf/Niger-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY18-FY22.pdf,application/pdf,Niger,B03,,
44002,https://documents1.worldbank.org/curated/en/526171611619063445/pdf/Nigeria-Country-Partnership-Framework-for-the-Period-FY21-FY25.pdf,application/pdf,Nigeria,B03,,
44002,https://documents1.worldbank.org/curated/en/099052224145592693/pdf/BOSIB113f7ccff0ee1a1b91d44ad6133c96.pdf,application/pdf,Nigeria,B03,,
44002,https://documents1.worldbank.org/curated/en/419731521338434751/pdf/NI-CPF-final-February-14-2018-02212018.pdf,application/pdf,Nicaragua,B03,,
44002,https://documents1.worldbank.org/curated/en/604631650378197877/pdf/Nicaragua-Performance-and-Learning-Review-for-the-Country-Partnership-Framework-for-the-Period-FY18-FY22.pdf,application/pdf,Nicaragua,B03,,
44002,https://documents1.worldbank.org/curated/en/998361534181363354/pdf/Nepal-CPF-v08-07-18-Master-Copy-08092018.pdf,application/pdf,Nepal,B03,,
44002,https://documents1.worldbank.org/curated/en/254801646062753584/pdf/Nepal-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY19-FY24.pdf,application/pdf,Nepal,B03,,
44002,https://documents1.worldbank.org/curated/en/099030124102536711/pdf/BOSIB107c0b7240241b2a01f9025573e0c9.pdf,application/pdf,Panama,B03,,
44002,https://documents1.worldbank.org/curated/en/099150001232325672/pdf/BOSIB0f4cc4c400e30b762022261092365f.pdf,application/pdf,Peru,B03,,
44002,https://documents1.worldbank.org/curated/en/986831558749746464/pdf/Papua-New-Guinea-Country-Partnership-Framework-for-the-Period-FY19-FY23.pdf,application/pdf,Papua New Guinea,B03,,
44002,https://documents1.worldbank.org/curated/en/099061323084026787/pdf/BOSIB01d4593500870ae68038f3e069a01a.pdf,application/pdf,Papua New Guinea,B03,,
44002,https://documents1.worldbank.org/curated/en/099100010042266404/pdf/P1714660f9b4fb0450bf940e901bada1228.pdf,application/pdf,Philippines (the),B03,,
44002,https://documents1.worldbank.org/curated/en/099153003162328685/pdf/BOSIB0859d4b0b01a0a7bb00708226e6123.pdf,application/pdf,Philippines (the),B03,,
44002,https://documents1.worldbank.org/curated/en/886791468083329310/pdf/846450CAS0P146090Box385177B00OUO090.pdf,application/pdf,Pakistan,B03,,
44002,https://documents1.worldbank.org/curated/en/265831497751223503/pdf/PAKISTAN-PLRNEW-05242017.pdf,application/pdf,Pakistan,B03,,
44002,https://documents1.worldbank.org/curated/en/209111528428654498/pdf/125670-REVISED-CPFPLweb.pdf,application/pdf,Poland,B03,,
44002,https://documents1.worldbank.org/curated/en/099840009082218604/pdf/BOSIB012f36ce00290851b0e06109400d1e.pdf,application/pdf,Poland,B03,,
44002,https://documents1.worldbank.org/curated/en/627701619710823261/pdf/West-Bank-and-Gaza-Country-Assistance-Strategy-for-the-Period-FY22-25.pdf,application/pdf,"Palestine, State of",B03,,
44002,https://documents1.worldbank.org/curated/en/891841547849263157/pdf/131046-Corrigendum-PUBLIC-after-1-22-Final-R2018-0269-1.pdf,application/pdf,Paraguay,B03,,
44002,https://documents1.worldbank.org/curated/en/602401656371569046/pdf/Paraguay-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY19-FY23.pdf,application/pdf,Paraguay,B03,,
44002,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099082724123030830/bosib1fb558a810a21806814b2b1e706b8c,application/pdf,Romania,B03,,
44002,https://documents1.worldbank.org/curated/en/654401653594256925/pdf/Serbia-Country-Partnership-Framework-for-the-Period-FY22-FY26.pdf,application/pdf,Serbia,B03,,
44002,https://documents1.worldbank.org/curated/en/519081468307477360/pdf/651150CAS0P12300disclosed0110280110.pdf,application/pdf,Russian Federation (the),B03,,
44002,https://documents1.worldbank.org/curated/en/645111594605654868/pdf/Rwanda-Country-Partnership-Framework-for-the-Period-of-FY21-FY26.pdf,application/pdf,Rwanda,B03,,
44002,https://documents1.worldbank.org/curated/en/099110723082537268/pdf/BOSIB0bfd8d90e0a081830b5d7972e43c2.pdf,application/pdf,Rwanda,B03,,
44002,https://documents1.worldbank.org/curated/en/187191533591240759/pdf/122600-CORR-PUBLIC-IDA-R2018-0249-2.pdf,application/pdf,Solomon Islands,B03,,
44002,https://documents1.worldbank.org/curated/en/099528309212238948/pdf/IDU0ad4619e9007c204f270a3020cbdb2bff53cf.pdf,application/pdf,Solomon Islands,B03,,
44002,https://documents1.worldbank.org/curated/en/099062824140525944/pdf/BOSIB1ef7c0d1f09e1b8e51ad7b97ff288d.pdf,application/pdf,Seychelles,B03,,
44002,https://documents1.worldbank.org/curated/en/879871602253859419/pdf/Sudan-Country-Engagement-Note-for-the-Period-FY21-FY22.pdf,application/pdf,Sudan,B03,,
44002,https://documents1.worldbank.org/curated/en/851731590804122431/pdf/Sierra-Leone-Country-Partnership-Framework-for-the-Period-FY21-FY26.pdf,application/pdf,Sierra Leone,B03,,
44002,https://documents1.worldbank.org/curated/en/099060724085542544/pdf/BOSIB135ae5a3b0a819e1a13ebf0d11fb5c.pdf,application/pdf,Sierra Leone,B03,,
44002,https://documents1.worldbank.org/curated/en/608781583719225540/pdf/Senegal-Country-Partnership-Framework-for-the-Period-FY20-FY24.pdf,application/pdf,Senegal,B03,,
44002,https://documents1.worldbank.org/curated/en/099030424164515436/pdf/BOSIB19a756a630ae1950b19bb8a3b38c87.pdf,application/pdf,Senegal,B03,,
44002,https://documents1.worldbank.org/curated/en/099020624155537269/pdf/BOSIB184df30530a9197dd1c1bfb8128d3f.pdf,application/pdf,Somalia,B03,,
44002,https://documents1.worldbank.org/curated/en/099090924182013594/pdf/BOSIB17fb0b98d0eb1a5da1d723b744f554.pdf,application/pdf,Suriname,B03,,
44002,https://documents1.worldbank.org/curated/en/154641621908323341/pdf/South-Sudan-Country-Engagement-Note-for-the-Period-FY21-FY23.pdf,application/pdf,South Sudan,B03,,
44002,https://documents1.worldbank.org/curated/en/099121423162031487/pdf/BOSIB1002ab3430741837215ce3493252ba.pdf,application/pdf,SÃ£o TomÃ© and PrÃ­ncipe,B03,,
44002,https://documents1.worldbank.org/curated/en/099040523105528085/pdf/BOSIB1dd8f1fa70d4192e917f7fb0f28753.pdf,application/pdf,El Salvador,B03,,
44002,https://documents1.worldbank.org/curated/en/099042723094536162/pdf/BOSIB0d60aef2907709f760cc6d21fbe12f.pdf,application/pdf,Eswatini,B03,,
44002,https://documents1.worldbank.org/curated/en/099045011032228370/pdf/BOSIB0e049600f0990811102aaa8c12a776.pdf,application/pdf,Chad,B03,,
44002,http://documents1.worldbank.org/curated/en/099050124142020564/pdf/BOSIB127a2798f05a1bed517ec5114a63b3.pdf,application/pdf,Togo,B03,,
44002,https://documents1.worldbank.org/curated/en/770551542942024490/pdf/125234-REPLACEMENT-PUBLIC-TH-WBG-Framework-ENG-FINAL-Mar-11.pdf,application/pdf,Thailand,B03,,
44002,https://documents1.worldbank.org/curated/en/099720012122213623/pdf/BOSIB0c033507e0b309cf80eef990b50f9e.pdf,application/pdf,Thailand,B03,,
44002,https://documents1.worldbank.org/curated/en/962981557781100857/pdf/Tajikistan-Country-Partnership-Framework-for-the-Period-of-FY19-FY23.pdf,application/pdf,Tajikistan,B03,,
44002,https://documents1.worldbank.org/curated/en/099011024131042366/pdf/BOSIB16e0f1e460721a7621e9f5998bdc8b.pdf,application/pdf,Tajikistan,B03,,
44002,https://documents1.worldbank.org/curated/en/353111574777310081/pdf/Timor-Leste-Country-Partnership-Framework-for-the-Period-FY2020-FY2024.pdf,application/pdf,Timor-Leste,B03,,
44002,https://documents1.worldbank.org/curated/en/099154502272311325/pdf/BOSIB00745f4ce0590b9b10ac0667d626a7.pdf,application/pdf,Tunisia,B03,,
44002,https://documents1.worldbank.org/curated/en/137341508303097110/pdf/120479-WP-P156647-PUBLIC-SydneyRPFFA.pdf,application/pdf,Tonga,B03,,
44002,https://documents1.worldbank.org/curated/en/302731583719311381/pdf/Nine-Pacific-Island-Countries-PIC9-Kiribati-Nauru-Marshall-Islands-Federated-States-of-Micronesia-Palau-Samoa-Tonga-Tuvalu-and-Vanuatu-Performance-and-Learning-Review-for-the-Period-FY2017-2021.pdf,application/pdf,Tonga,B03,,
44002,https://documents1.worldbank.org/curated/en/099031824111097800/pdf/BOSIB1c51810200bb1b42411382658e7899.pdf,application/pdf,Turkiye,B03,,
44002,https://documents1.worldbank.org/curated/en/137341508303097110/pdf/120479-WP-P156647-PUBLIC-SydneyRPFFA.pdf,application/pdf,Tuvalu,B03,,
44002,https://documents1.worldbank.org/curated/en/302731583719311381/pdf/Nine-Pacific-Island-Countries-PIC9-Kiribati-Nauru-Marshall-Islands-Federated-States-of-Micronesia-Palau-Samoa-Tonga-Tuvalu-and-Vanuatu-Performance-and-Learning-Review-for-the-Period-FY2017-2021.pdf,application/pdf,Tuvalu,B03,,
44002,https://documents1.worldbank.org/curated/en/099061724153527007/pdf/BOSIB193d9b4f005a1a0c01407ba1414034.pdf,application/pdf,"Tanzania, United Republic of",B03,,
44002,https://documents1.worldbank.org/curated/en/847421498183265026/pdf/Ukraine-Country-Partnership-Framework-FY2017-21-05262017.pdf,application/pdf,Ukraine,B03,,
44002,https://documents1.worldbank.org/curated/en/170721468179663842/pdf/101173-CAS-P155948-OUO-9-IDA-R2016-0049-2-Box394874B.pdf,application/pdf,Uganda,B03,,
44002,https://documents1.worldbank.org/curated/en/762631622944862388/pdf/Uganda-Performance-and-Learning-Review-of-the-FY16-FY21-Country-Partnership-Framework.pdf,application/pdf,Uganda,B03,,
44002,https://documents1.worldbank.org/curated/en/099525011112230801/pdf/BOSIB0f20149f30f10959805255d4935301.pdf,application/pdf,Uruguay,B03,,
44002,https://documents1.worldbank.org/curated/en/558271653576525839/pdf/Uzbekistan-Country-Partnership-Framework-for-the-Period-FY2022-FY2026.pdf,application/pdf,Uzbekistan,B03,,
44002,https://documents1.worldbank.org/curated/en/785291684874343180/pdf/Organization-of-Eastern-Caribbean-States-Regional-Partnership-Framework-for-the-Eastern-Caribbean-States-for-the-Period-FY22-FY25.pdf,application/pdf,St. Vincent and the Grenadines,B03,,
44002,https://documents1.worldbank.org/curated/en/173771496368868576/pdf/111771-PUBLIC-Vietnam-FY18-22-CPF-FINAL.pdf,application/pdf,Viet Nam,B03,,
44002,https://documents1.worldbank.org/curated/en/395041558317667311/pdf/Vietnam-Performance-and-Learning-Review-of-the-Country-Partnership-Framework-for-the-Period-FY19-FY22.pdf,application/pdf,Viet Nam,B03,,
44002,https://documents1.worldbank.org/curated/en/137341508303097110/pdf/120479-WP-P156647-PUBLIC-SydneyRPFFA.pdf,application/pdf,Vanuatu,B03,,
44002,https://documents1.worldbank.org/curated/en/302731583719311381/pdf/Nine-Pacific-Island-Countries-PIC9-Kiribati-Nauru-Marshall-Islands-Federated-States-of-Micronesia-Palau-Samoa-Tonga-Tuvalu-and-Vanuatu-Performance-and-Learning-Review-for-the-Period-FY2017-2021.pdf,application/pdf,Vanuatu,B03,,
44002,https://documents1.worldbank.org/curated/en/137341508303097110/pdf/120479-WP-P156647-PUBLIC-SydneyRPFFA.pdf,application/pdf,Samoa,B03,,
44002,https://documents1.worldbank.org/curated/en/302731583719311381/pdf/Nine-Pacific-Island-Countries-PIC9-Kiribati-Nauru-Marshall-Islands-Federated-States-of-Micronesia-Palau-Samoa-Tonga-Tuvalu-and-Vanuatu-Performance-and-Learning-Review-for-the-Period-FY2017-2021.pdf,application/pdf,Samoa,B03,,
44002,https://documents1.worldbank.org/curated/en/099041723104545397/pdf/BOSIB0a3dc36ae0c40be3c058429f10a40d.pdf,application/pdf,Kosovo,B03,,
44002,https://documents1.worldbank.org/curated/en/351911650316441159/pdf/Yemen-Country-Engagement-Note-for-the-Period-FY22-FY23.pdf,application/pdf,"Yemen, Rep.",B03,,
44002,https://documents1.worldbank.org/curated/en/139701627178427304/pdf/South-Africa-Country-Partnership-Framework-for-the-Period-FY22-FY26.pdf,application/pdf,South Africa,B03,,
44002,https://documents1.worldbank.org/curated/en/099091624151519669/pdf/BOSIB1d4ac5c7f00918f9217eab1347c249.pdf,application/pdf,Zambia,B03,,
